reviewText,sentiment
The plastic holding the shocked in collar broke after my dog wore it for the first time.  Wasn't even on for more of an hour.,0
"This thing sucks! The water pump is so weak, it barely moves the water. The tank kept getting rancid. I actually took the pump out and just put that in the water bath, which was better than nothing.",0
Our cats spend almost all their time on this jungle gym. They use all the posts to scratch which makes some of the carpeting come off; it still remains highly durable.,1
First bought a large my dog was still able to reach around it. Bought the x-large had it 2 weeks and it started ripping and my dog was able to bend it brought to still get at his back side.,0
It made stinky feet smell go away under her eyes!!,1
the lid does not fit well you have to pull it off rather than twish even though your supposed to twist but overall works great,1
This thing is worthless. I read great reviews but I can't see where any were legit. This has no power whatsoever and might be able to be used on a small kitten but I doubt it,0
Kitty loves it and so do I.,1
"I wanted to love this product and had hoped it would be better toys than the rope toys for my pups.  I have 2 Lab/Hound mixes that weigh in between 55lbs and 60lbs each.  I haven't even had the toys for a week and already one is destroyed and another is unraveliong.  These were advertised as toys for strong chewers but don't be fooled.  My dog not only chewed them apart in a day, but then ate some of the fleece pieces which lucklily he was able to throw up and not have it stuck in his system.  I won't ever purchase this product again.",0
Cat broke the maze toy after playing with it for one day!,0
"The sizes run large. However, I managed to make it work.",0
"item received does not look like the picture, no lining around the jack, thus it  scratches the boot, not good",0
My dogs hate this.  They run and hide when they see me with the container and then hide after I use it.  What a waste this was.,0
"The tool does what it's supposed to do. My dogs fur is too thick even after a thorough brushing for this to get through. I have a Bouvier with a very thick almost wool like coat. The teeth are too fine for him. A silkier coat, this would work great with...",0
"The quality of this product was not as expected. The product was much less sturdy and pale than the picture shows. Even though it is expected that size and color may vary, the picture looks very similar to a product I purchased at a local store in the past. The product I received does not. My dog is not very big, but the horn immediately started to break and fall apart once he began to chew it. It felt and sounded like concrete. I will purchase buffalo horns in the future, but it will not be this brand. I may just trash what is left.",0
Terrific customer service from PetSpy.,1
Noticed difference in 12 year old Doberman. She was starting to struggle with getting up and laying down. We've been using for about 6 months and now she doesn't strain getting up or laying down. Amazing stuff! Highly recommend!,1
Wrong type of Moss - my bad.,0
"For a one cat household this is a great litter box. I use the liners, actually 2 because our kitty makes holes in them, and it makes it very easy to scoop because the clumps don't stick. It is small enough to fit under a bench and very odor trapping. I use Precious Cat Ultra Premium Clumping Cat Litter and the combination is great.",1
the cats hated it...,0
My puppy hates the smell. She runs and tries to get rid of the smell when I spray her.,0
"I purchased two bottles. One was fine, the other was open. I threw the open bottle away.",0
Great product! Does exactly what it says it will do... highly recommend !,1
Works like it's supposed to and my blue crayfish thanks you!,1
This litter works well with the littermaid system. It clumps well and the cats seem to like the texture of it,1
These have been a great additions to aquarium! Their colors are vibrant and they have been very active and not skiddish like my other dwarf crayfish. They arrived in good shape due to the great packaging.,1
Have a yorkie/ chiwahwa mix and these would not even come close to going through his hair terrible!!,0
"Coolrunner should be ashamed of themselves, inserting Cesar Milan's name into a product that he has absolutely nothing to do with.  I have not purchased this lead, and it may be a very nice lead, I just don't like the false, misleading, and deceptive advertising that is being portrayed here.",0
Did nothing for my cat.,0
"Too small, the carpet is thin and the top is hard.  the cats won't go near it.",0
Dogs love it.,1
"This thing is unusable.  Using it with or with the cap, the cheap and dinky little sandpaper ring slips off within a second of touching the nail.  The stone itself is for fine grinding, and would take way too long.  Save your money and get a real dremel.",0
I really was expecting something more substantial... this thing is tiny and both of the squeakers popped within 5 minutes tops... I'm actually afraid of my dog just swallowing it and he's medium sized. But they sent me three in a package which I guess is cool. I'll pull him out a new one if he destroys the first (he's not too interested in it anymore without the squeak) and of course if he doesn't swallow it.,0
"I actually bought this as a gift, for a dog that I'm the caregiver for. She loves snuggling into the one at my home, so got her one. I have to say, this one is a lot more plush that the one I bought years ago. I may have to upgrade mine. My cat's love this, too.",1
These egg rings work wonders. Less oil popping and makes it very simple to cook over-easy eggs. I've also used them for pancakes and they work just a well.,1
So cute!  Great quality.,1
"Nice leash, build quality seems to be there. The traffic loop/handle (lower loop/handle near clasp) if perfect, right size and padded. Now the main loop/handle is too small and isn't padded. If they tweaked the design were the main loop/handle was the same size and had the same padding as the traffic loop/handle then this would probably be a 5 star lead/leash. Also upgrade the clasp and its a definite 5 star leash.",1
I never needed it so I have no idea if its a good item,1
Absolute trash! I bought two different sizes and my dog slips right out. She pulls it off forward so it's not on her snout. I got her to stop pulling out of the snout so now she just pulls backwards and slips the whole dam thing off. Trash!,0
Our dogs love this.,1
"I love it! I was without sleep for weeks because of my cat knocking on the door all night long, until I found the ssscat spray. It really works!",1
didn't work as expected,0
"The bottle says 60 tabs but there's  really just 58 tabs in it. If you buy this, make sure you count the tabs.",0
I have English bulldog and works excellent,1
have not used yet but i'm sure I will like it if I get a chance an see a need,1
"DON TO BUY THIS HORRIBLE PRODUCT. HAVE BOUGHT THEM OVER THE YEARS BECAUSE I KNEW OF NO ALTERNATIVE. THEY WOULD EITHER STOP WORKING WITHIN 2 YEARS OR GET SO HOT THEY WOULD BURN THE KITTYS. THEN I WOULD HAVE TO THROUGH THEM OUT. I SHUDDER TO THINK HOW MUCH I SPENT REPLACING THEM OVER AND OVER. THEY ARE MADE IN CHINA CRAP.

If you want a well made ( in the USA) product that also makes heating mats for farmers...Google Kane. They have an 18 x 18 mat for pets that is well built AND they will repair it if need be. It cost a bit more but should last forever (or so).",0
"We ordered two 26 feet flexi long lead 3 leash but we received two 16 feet tape leashes.  We called and they admitted they sent the wrong item, said they would send the right ones with directions on how to return the incorrect leashes.  That was 3 weeks ago and we have heard NOTHING and NEVER received the correct item.  What a waste of money, effort and time.  Sadly the dogs still have NO GOOD 26 feet leashes.",0
Very strong smell after a short time.  Even one of my dogs didn't like it.,0
"Like most every other review I've read on here, everything was going fine with my cat and the CitiKitty up until the moment I cut the first hole. We have been stuck on the first, smallest hole now for the past 3 months. While my cat continues to urinate in the CitiKitty, she absolutely refuses to go #2 with it, and just goes in my bathtub. If I fill my bathtub up with water to prevent this she goes on the bathroom floor.

Many reviewers have mentioned 'the cleanup' that is required of this product, but I think the most gruesome details have been left out; yes, your cat will kick litter all over the floor of your bathroom; yes, when you need to move the CitiKitty to use the toilet yourself, you will spill cat litter all over your floor. But this is the easy stuff. What's really hard to deal with is the 'wet' litter. When your cat kicks at litter that has been urinated on, it gets stuck in all of the nooks and crannies of your toilet; wet litter will be caked around the entire rim of your toilet, where it meets the tile floor. Urine-soaked cat litter will adhere to the nuts and bolts of your toilet lid in the same pattern as you would see rust. It is nearly impossible to remove this, and requires a considerable amount of time on your hands and knees with Qtips and toothpicks. Even then, your toilet will never quite look the same.

My cat could not be more terrified of the tiny, black hole that is the smallest, first step of the CitiKitty. (which is natural enough, since it looks like the sort of thing a predator or a snake would jump out of.) This means that both before and after she urinates, she tries to 'bury' the hole by kicking 90% of the litter into it; so much so that I can't even flush it. So, you burn through litter about 5 times as fast as you would with a litter box.

""Things can get a bit messy"" is the most profound understatement ever made of any product made available on Amazon.com. You are essentially doing away with your litter box, and instead turning your entire bathroom into a litter box.

Even if this product eventually works - and it appears for many it has. I assume all the 5 start reviews are veterinarians of have PhDs in Feline Psychology or something.) you will have to do so much work deep-cleaning your bathroom and toilet, that a decade's worth of a litter-box free life still won't make up for it.

And this is why this product truly only deserves 1 star; not because it doesn't work and hasn't succeeded in training my cat; it's because for an additional penny's worth of plastic, they could have created ridges around the holes as well as the outer rims of the CitiKitty that would have prevented 90% of the litter from flying everywhere. They simply didn't care about how many hours you would have to spend on your knees digging urine-soaked cat litter out of every crevice of your toilet. They didn't feel it was worth the effort, and frankly now I don't think it's worth the effort to complete the training.",0
"So very cheap! And mean the price, not the product! I got 3 for the price I would have paid at a pet store!",1
Ball is very slippery when wet from your dog or snow.  The previous Powzer STAR BALL was much better.  This ball will puncture easily.,0
"Package arrived 2 days later than expected. The product box was used looking and barley closed. I opened the box to use the collars and they were opened. One was marked with permanent marker and they expired in January. They looked to have already been used. I tried to add a photo, but the link will not work.",0
Folds flat and unfolds to make a sturdy enclosure for my aging dachshund who needs to be confined. Tray is easy to remove and clean. I recommend this product as the best for the price under $40.,1
"The monster loves this thing, therefore I love this thing.  He usually inhales his meal in about 26 seconds and using this extends it to a good 15 minutes.  I have to vacuum a bit more now, but it's worth it!",1
Didn't work at all. Made tiny buzzing noise in the motor of the fan and smelt funny. Guessing its just my luck of the draw and not a totally sh*&ty product. Ill just 3D print my own and hope it works.,0
"I wouldn't give it any stars as then I wouldnt be able to comment. I bought this food as an upgrade to what I was feeding my dog. WIthout knowing the cause my dog was vomiting everyday sometimes twice. Soon after it happened I decided to search the internet to see if anyone else was having this problem. I found many search options which said that their dogs were experiencing the same issue. This is the search results you can read the proof here.[...]
I have contacted Amazon and they said they were going to stop selling it which I see they have not. I got a call from Blue Buffalo last night but was unable to take the call. They never called back. I am going to go through the expense of having the food tested. I plead with you to not buy this product or any others they make. Somewhere along the way (maybe when the company went public) things have changed. I will never use their food again",0
Works for cats too although I had to put it on a tray because they flick food out of it.  Much less vomiting now.,1
"WHAT IN THE WORLD?!?! WHY has the price on these gone ASTRONOMICAL? Holy cow!! It was bad enough when they started creeping from 1.79 to 1.99+...and now this?
My kids love these things - even the one who used to not like them has finally started stealing from her brother. It's one of the few treats all of my kids have consistently loved over the years (not all of them loved Ferretone). It's also one of the few treats I still give them, unless they still want to eat the peanuts from their dig box (have had a couple who happily munched them like they were buttered popcorn. Once had a ferret I found sound asleep in a now-1/3-full box of what had been a nearly full one of starch peanuts. *smh*.  Fed him - and all the rest - excellent quality food all the time. Good treats, etc. *smh* Finally had to take the dig box away for periods of time.)
Sorry, ferts - when the last of our current stash is gone, we're done with these, unless a miracle occurs and the price comes back down! *SNORT*.",0
"It's a nice lead but it's a bit springy if that make sense. It stretches, but if that doesn't bother you it's a great leash.",1
"My dog ruined this toy in less than 30 minutes after getting it. I would not recommend this toy and instead you should look into other dog toys. My dog is not a aggressive chewer but she was able to tear this apart fairly easily. And it also seemed dangerous since all of the cotton was coming out and she was trying to eat it. In my opinion, this product was a waste of money and I will NOT be repurchasing.",0
"It definitely works. Needs to be very dark though, obviously. I am trying to figure out everything its picking up - for example, you can see yellow pee on the toilet seat but also a bunch of other white spots. Im assuming that is cleaning product?",1
Didn't work on either dog,0
One of our German shepherds favorite toys from Santa this past Christmas!,1
Mozzie loves it! So I love it!,1
SO cute and so comfy. My kitties Love this!,1
"Seems to stop the barking, but rays allot of batteries.",0
Just looks like a saw blade attached to a slab of wood I coulda made this on my own had I known.,0
This product is under powered and the surface skimmer needs constant adjustment,0
I have used this 3 times kn my black poodle but it still has not covered her gray strands,0
"My rabbit ate the apple immediately, but doesn't like the wood?",0
"This is average performing cat litter with a terrible lavender odor that, through some miracle of science, multiplies the scent that you are trying to cover up in the first place.

The clumping works fine. The absorption is good. The drying doesnt work so well, because of the heavy clay-like formula. There is some dust generated.

But, wow, that fake lavender smell is awful.",0
We love it and so does the kitty,1
"Harness is made with nice materials, but fit is extremely poor. I owned the Premier Easy Walk harness for another dog before the company was bought by PetSafe. While this new reflective version is a great value, the plastic buckle and cinches are too large and fall in the wrong places. The previous version took some adjustment, but managed to work comfortably. This reflective version has excellent material and is a nice idea, plus comes with a great leash, but the large plastic parts end up rubbing against my dog's elbows or digging into her arm pits. You can see this in photos and product literature yourself. So, the original design has been reworked. It is not possible to move the snap buckles in particular. By comparison, other harnesses with similar buckles locate them higher on the dog's back and in front. Why put it so low and also near the dog's joints? It is as if the product has not been tested. Many customer reviews can't be wrong. Bottomline, if your dog has a shape that will accomodate this harness, great. Otherwise, this is no longer the best no-pull dog harness.",0
Works good,1
THANK YOU FOR PROVIDING SUCH AN AWESOME PRODUCT.  I AM A RETURN CUSTOMER AND MY DOG IS SO MUCH HEALTHIER...,1
My goldendoodle is in love with this thing. She rolls all around the house trying to get the treats out. Great toy to occupy large breed puppies.,1
My cat loves these 'fish'. She is on the smaller side and these are perfect for her to throw around and chase. I squeeze them a little to release more catnip scent and she goes 'crazy' again.,1
My 7 month old puppy had this torn apart in the first 5 minutes. :/,0
"this product is easy to clean, lots of micro bubbles and  no deterioration.  works well.  5 more words to submit review, there",1
"Love these bags, make taking my do out so much easier always have them attached to her leash. Good quality",1
As Promised,1
great,1
"My dogs love these. I have smaller, Shitzu sized dogs. If I had to do it over again, I would have gotten the smaller sized squeaker. This one is a bit big for them. But they play with them happily. It's just hard for them to make the squeaker squeak so they don't play with these as long as they do with smaller sized ones.",1
"Super easy to install and my little guinea pig loves it! She hides under it, sleeps in it, jumps/pops on it. Such a wonderful and cute addition to her home!",1
Wire coating was coming off or just not there to cover the wire. It is flimsy and the latches do not line up properly so it is very difficult to latch. Would not buy this brand again.,0
"I've only used it a few times, but for my labradoodle, it seems to works great. She is young, but pretty well behaved on a leash. My chocolate lab, on the other hand, im not sure yet how the leash would work on her. She isn't as good on a leash. It does take a bit to get used to how it detachs from the colar, but it is a good length for walking, car rides, and trips to the vet. I like my dog to be at my side when walking on a leash, so this is the perfect length for a medium to large dog. I also have a small dog, and it would be too short for him. It would be nice to have a wrist strap of sorts, because I don't think one person could walk two dogs with two of these leashes. The reel fills up your hand.  No way to put two in one hand.

Oh, and the package came a day early and in good condition, so that part is good too.",1
"I've ordered both the 6.5 inch and 9 inch.  My dog loves both and this is by far his favorite fetch toy.  He will play forever with it. The 6.5 held up for over a year, until I accidentally left it outside and he started chewing pieces off of it.  I just got the 9 inch, and it's much heavier.  It flies better since the smaller one was hard to throw in the wind.  However, the smaller one was more flexible and we could play tug'o'war with it...the big one is not conducive for pulling.",1
Easy to set up and study enough. Just have to get my dog to go inside now...,1
Our cats love this climber and it's sturdy enough that they can run up and down it without tipping. Looks good in my living room. We've had a bunch of complements on it. A real improvement over the usual ugly carpet pole.,1
"How you are supposed to use this harness is a puzzle. The instructions are contradictory. At one point you are told to adjust the harness so that the leash ring is positioned below the height of the rings on the side. This is important because the 'no pull' feature depends on the chest strap with the leash ring having enough slack to pull to either side. A picture shows a dog being led with the leash attached to the ring in this position. However, if you try this on your dog, the leash droops and she/he will constantly be stepping over it. At another point, the instructions acknowledge this issue and tell you to put on a flat collar and the harness, and clip the leash through both rings at once. Doing so will pull the harness ring up to the height of the flat collar - but, as far as I can tell, that defeats the 'no-pull' purpose of the harness. Then there is a picture showing the leash attached to the harness, but then fed up and under the flat collar, and out over the dog's back. I can't see how doing that maintains the 'no pull' purpose of the collar either.

So, flat collar or no collar? If no collar, how do you keep the leash from tangling in the dog's legs? If you need to add a flat collar, what's the use of the harness?

Despite the self-contradictory instructions, I see advantages - meriting a rating of two rather than one. (1) When the dog pulls (nothing in the design of this harness prevents pulling), he/she doesn't choke or gasp as might happen with a flat collar or slip lead. (2) The position of the leash ring does make it easier to gain your dog's attention - and that makes it easier to train him/her not to pull. (3) Ignoring the instructions regarding a flat collar, and using the harness alone, I have had some success walking our 85 lb labrador. By success I mean that the harness facilitates reinforcement based training in ways that other solutions (flat collar, slip lead) do not.",0
"I think I like these as much as the dogs! I wouldn't say they are indestructible because we have had to buy a few of them so far, but they do hold up pretty good for the amount of torture they are put through.",1
Collar completely killed over after less than two months of use.,0
"Made of pumpkin, potato starch, chicken meal with vitamins and papaya, these grooved bone shaped chews please my dogs. They come 22 in a resealable bag. They have a strong pumpkin/carrot smell. Although made in the US, customer service could only provide information on where the proteins were sourced. In this case, I was told, the chicken meal was from the US. They could provide no information about the origin of  the other ingredients except to say that they get folic acid from China. (There is no folic acid in this product.) They do seem to have fairly stringent safety protocols, but it would be nice to know where the food stuff and supplements actually come from.

I can't say that I have noticed an improvement in my dogs' breath or dental health. They are not long lasting but the dogs seem to enjoy them. The dogs haven't suffered any negative side effects and the chews haven't stained anything.  Fine as an occasional treat, they are a fun adjunct to regular dental maintenance and care.",1
My kitten loves this blanket!,1
Our miniature dachshund loves her squeaky toys. We bought this for her hoping the squeaker would survive like one has in one of her other toys. No such luck. A dog with a strong predator instincts will disable it as she did.,1
I have 24 Koi ranging in size from 12 inches to over 24 inches.  I wanted quality food w/o breaking the bank.  This was it.  Only I believe I should have ordered more.  Good start.,1
Dog loves them,1
"These pet combs are great! The comb works well on all types of fur. Cat, dog, curly, straight. I love that it has 2 sizes of teeth. You can comb first using the large size, then again with the smaller size. This comb is very strong and seems like it will last a long time. Great buy for the price!",1
"Experience was great,  received within 2 days.  I have a happy dog!",1
"My dog likes it and thats all that matters to me!
Also looks like it would be easy to wash. I haven't had to wash it yet, but it seems like it wouldnt get messed up in the washing machine.",1
"My elderly cat has decided she wants to lay on my kitchen table.  Ive scolded.  Ive put her in the garage.  I can not keep her off.  I read online about available deterrents.  I came upon this product.  Within an hour of arrival I placed it on my table.  30 minutes later I found her laying on it nonchalantly while my husband expressed his. know-it-all  grin and asked,How much did you pay for this?  I then flipped it over to the reflective side and waited.  She immediately returned and hopped up on the table .  Returning this",0
Had no effect on my tank.,0
"My Maltese Yorkie mix chewed off pieces within 3 days of receiving this item. He's a little guy, but apparently a very heavy chewer. So for me it was a waste of money.",0
"I purchased because one post said they tried and could feel the warming..... well you must have to give off a lot of heat to get heat from this pad.  I tried it and I got NO heat from the pad, ended up giving it to the dog for her use.  I am a dialysis patient and it gets really cold in the chairs when sitting there for hours, I was hoping this would work to help keep me warm......  Bottom line is its not for human use ..... dog appears to enjoy.",0
"We have tried several products with our 50 pound, 12 year old Basset Hound and nothing seemed to work, but this little suit did the job. You do have to use it with a diaper and be carefull not to leave it on all day long, since our dog did develop a little infection in his penis area, probably from peeing and staying a little wet.",1
Only 2 days in and the pump is already struggling and making noise.,0
Received Variety blend for Parakeets not for canaries and finches as I had ordered.  Parakeet blend has different ingredients including sesame seeds which I was trying to avoid.  Returned.,0
"Love this cat tree! My only complaint is that the second highest tier is difficult for our little one to get down from (and to climb up). The square is just wayyyyy too wide, so it doesnt leave much room to climb to the cat cave",1
My dog chewed it up with in a couple hours.,0
Perfect my kitty loves Purina Pro,1
Sizing is way off,0
"Worthless on 50 pound great pyrenees puppy. I don't know if it's broken but it does beep when she barks. However, her barking is unaffected and she doesn't react in any way that I can see.",0
This thing is great!,1
"I never expected Amazon.com would SCAM customers just to eliminate Prime shipping on ""Arm & Hammer"" Unscented Cat Litter.  I scrolled through most pages listing this product (EverClean), and it appeared as if all of them had the ""Prime"" designation.  Also, the prices were similar to what ""Arm & Hammer"" charges.. I did not think that Amazon.com would stoop so low. Diid you get a hefty contract from EverClean?  It's my opinion that it's a lousy product, especially when dust flies up my nose and mouth and all around me, then settles on everything in the room.

I sincerely hope if only one customer reads this review, I will consider my part done!",0
It is supposed to be an excellent feed for my Cockatiels.  Only I am not sure just how much they really eat since I mix it in with the other stuff that they eat.,1
Product doubled in price for no apparent reason. Will not order nylabone products again,0
It does the job!  We scoop a lot and this works just fine for the job.  We would buy it again.,1
Great product. He cant stay off of it. Fast Shipping.,1
I received the ball in a timely manner. It is a heavy duty rubber ball. My problem is that the sound did not work after my dog had it the first day. In reality after 2 hours it was not making any noise at all. Don't waste your money.,0
dogs can actually play with this and not tear it up as easy as most dog toys,1
"I am a big Fluval fan,but this is the second of these heaters that has cracked when simply being  removed from the water. Apparently can't handle the change in air temperature,even when heater is not on.",0
Got this for my lab/shepherd mix.. very nice and well made. Perfect for her.,1
"I put it together and put it down on the ground for them to play with, and at first a few of them tried, but the holes for their paws are too small and the ball is too heavy for them to move very easily.  Now they completely ignore it.  And these are cats who will play with pretty much anything: wadded up bits of newspaper, pieces of cat chow, a sock, the cap from a bottle, anything.

But this toy is completely ignored.",0
Awesome product!,1
Great Kennel with good updates and features.,1
"My cat used to leave about half of her wet food in the dish, pushed out to the edges (of the plate or bowl) to turn into dried up cat food jerky. Since using this raised bowl, a lot less of her food goes to waste, and none of the pieces slide over the edge and get stuck to the floor.",1
This will not be used to climb mountains but will be used when taking them to the vet.  They are not  happy with this but I am.,1
"I have an older, mixed breed dog that just refuses most dry food.  Spot's Stew is the one brand that he will eat and has been eating for
some time.",1
"I give this a 2 because both of my dogs loved it.  I have a Lab and a Border Spaniel. Both large dogs and both can be aggressive chewers.  When the first bone arrived Monday afternoon they fell in love.  To the point I had to quickly order another one because of the fights over who got to chew on it.  The 2nd bone arrived on Thursday.  About 8 that night my Lab started wheezing like he couldn't catch his breath.  I checked his mouth and nothing I could see. This happened twice in about 30 minutes.  He was chewing on the new bone.  About an hour later our female threw up her breakfast in my office.  They woke me up 5 times between 11 and 7 to go outside, literally dancing at the front door.  The ONLY change in their diet has been these bones.  They are both happy healthy dogs and this whole experience is extremely out of character for both of them and upsetting to me.  The bones quickly went up out of sight.  I don't know if it was something ON the 2nd bone, as they were passing them back and forth, or if it's something in the ingredients but I'm not about to take the chance.  Bones are going in the trash.",0
Our dog likes the taste but the bag came with half of the peices broken/crumbled up. Will be buying a different brand next time.,0
My dog's favorite chew toy of all time. It lasted about a week.,1
works great keeps tank clean,1
Our squirrels went nuts (no pun intended) for these!,1
"Terrible color!  I love purple for my clothes, not my environment. Our bedroom is in blue and green...
Litter scattering, After almost 13 years, my team - a brother and a sister - can't lose the habit of ""covering up"" after use. I find the stuff all over the place, especially my bed....
And your claim about length of use is bunk! One to two weeks...",0
smaller than expected,0
We use these on our boat.  They are perfect a day on the water.  At the end of the day they clean up easy and collapse for storage.  Pups love 'em.  We love 'em.,1
"My dogs eat them right up, not sure how they work because it's winter.",1
Scam.,0
"I wish I had used this earlier. My Cane Corso chases small wildlife, including birds, and is not a big fan of small dogs that are the preferred canines here on Sanibel. Before buying this product, I was told it was cruel. As a result I tried a lot of other products all of which resulted with Luca breaking from my grip or pulling me over. One fall resulted in me requiring major knee surgery. Poor and Stupid me. This collar keeps Luca at heel and my grandmother could now walk him safely. Don't listen to the hype that this product is cruel. I love it.",1
I've had so much trouble trying to find a good size cage that is big and doesn't cost a fortune until I came across this one. I wish I would have found this sooner. This is a very spacious cage and very durable. I've seen some bad reviews about it being cheaply made and falling apart but I haven't had any issues with it. I did have to replace the wheel with a better one. Mine didn't want to work very well. Other then that I love the cage and my little robo hamster seems alot happier. I will definitely buy another next time.,1
Great harness connectors for dogs. I don't worry when my dogs want to put their heads out an open window.  They are strapped in the seatbelt. Great for sudden stopping - dogs stay safe on the back seat and pressure is only on the chest.,1
"These are fantastic.  Well made and worth the price....my cats love them, and even better, they are holding up to tons of play time from multiple cats.",1
"This was awesome at first.  My cats loved it, but the pump broke after 6 months and would not work.",0
"My cat sheds easily, and his fur gets on this collar pretty easily. It's a little hard to clean once the fur and other hair is on it, but otherwise it is a good product.",1
"Not the same color as in the picture. Sized up so it does fit but the blue is dark navy, looks almost black in dark lighting. Disappointed because our dog is all black and we wanted the shirt to stand out more.",0
My dogs won't eat it!,0
deficient we return,0
"Messy, did not slow our dog down, and I was concerned about him eating the silicone as it would not stick to the floor.",0
I have bought several bags of this litter and it was a great value. The price has more than doubled and it's no longer worth it. It's too bad because it works well and was very affordable.,0
"I have a 20-25lbs dog and this is WAY too big for him. He is a good dog and doesn't try to get out of it but, if he wanted to, he could work his head out of this collar on the lowest setting. Whatever size you think you need, go a size smaller.",0
It's perfect size for my pets. The plastic feels heavy enough that the edges won't rise. The lip helps keep the water in. The plastic is soft and flexible so I'm sure it won't crack if it gets stepped on. I would highly recommend it.,1
Very messy. Had to place a large mat under it to keep food off of the floor.,0
"My bird absolutely loves these. They are easy for her to eat. I mix them in with her regular food so she has to forage for them a bit, otherwise she would probably only eat oat groats. Good for her health. The price is decent on Amazon. I really like the bottles they come in too, which makes it easy to keep them in one place and avoid spilling anything.",1
Excellent ! My 3 dogs have allergies. Have used Blue for years.,1
"If I could give this zero stars, I would. I bought this at the supermarket for my young dog, who wound up becoming quite sick from said product, resulting in a visit to the veterinarian. A couple of weeks later, I met two other people whose dogs also became sick from this, and who also had to see their vets. I seriously recommend avoiding this product!",0
"Our dog absolutely loves this.  The faceted surface allows the ball to bounce in unpredictable directions, which the dog loves as he chases the crazy thing.  Two paws up!",1
This is entirely too thick and heavy even for my chew-crazy lab puppy. He tries to drag it around because he loves chewing it but can't carry it. Won't be his favorite long though.,0
I was disapointed by how poorly this until performed. It did not work for very long and was affected by the elements! poor construction.,0
"waste of money, it's difficult to clean and is too small. threw it away after 2 weeks of using it.",0
Dumbest thing ever. Jellyfish never sank properly.  They just float up to the top and their tentacles get hung up in the water pump. Might work pretty good if the jellyfish were neutral buoyant but they aren't.,0
Tried to order this twice and both bottles had leaked all over before they arrived. We'll try a different product with a better design.,0
My cats love this harness.  So easy to put on and yet more secure that other harnesses I've tried.,1
"Super heavy thick plastic and my cat hates it,  It sticks to carpet making it impossible to use as a chase toy.",0
So cute but doesn't stay on so not good,0
I loved these boxes but my cats don't.,0
"Very plush and colorful with true ""Chanel"" cross-patterned stitching.  Just slightly smaller than expected, but super cute nonetheless.

I will be using it for display along with a few other plush purses purchased.  All in all, very glad I made this purchase.",1
Dogs would not eat out of it or drink out of it,0
